timestamp,batch_idx,original_loss,auxiliary_loss,normalized_auxiliary_loss,total_loss,normalization_factor,auxiliary_weight,ema_original,ema_auxiliary
2025-07-17T07:56:26.955095,1,0.3447820246219635,4.6691083908081055,4.474347114562988,4.81912899017334,0.9582872140833731,1.0,0.9934478202462196,1.0366910839080812
2025-07-17T08:02:36.196542,3,0.5609158277511597,4.698159694671631,4.3296661376953125,4.890582084655762,0.921566359501749,1.0,0.989122500321269,1.0733057700157167
2025-07-17T08:03:07.621564,4,0.7406797409057617,4.462707996368408,3.976768732070923,4.7174482345581055,0.8911111352224365,1.0,0.9866380727271139,1.1071997922792436
2025-07-17T08:03:46.316771,5,0.2321057915687561,5.107470512390137,4.359027862548828,4.5911335945129395,0.8534611298566888,1.0,0.9790927499155303,1.1472024994803525
2025-07-17T08:04:28.067155,6,0.3906472325325012,4.558480739593506,3.7554335594177246,4.14608097076416,0.8238345016186733,1.0,0.9732082947417,1.181315281881484
2025-07-17T08:04:59.973103,7,0.5042265057563782,4.674698829650879,3.72253680229187,4.2267632484436035,0.7963158657756041,1.0,0.9685184768518468,1.216249117359178
2025-07-17T08:05:25.589627,8,0.569497287273407,4.622025489807129,3.565584182739258,4.1350812911987305,0.7714332151845481,1.0,0.9645282649560625,1.2503068810836575
2025-07-17T08:08:50.463495,9,0.18033361434936523,4.577853202819824,3.411989450454712,3.592323064804077,0.7453252339005264,1.0,0.9566863184499955,1.2835823443010193
2025-07-17T08:09:12.519420,10,0.5440144538879395,4.49793815612793,3.256418466567993,3.8004329204559326,0.7239802688485917,1.0,0.952559599804375,1.3157259024192884
2025-07-17T08:10:08.015035,12,0.40365517139434814,4.825625419616699,3.3832719326019287,3.7869272232055664,0.7011053395580729,1.0,0.9470705555202746,1.3508248975912627
2025-07-17T08:11:02.204921,14,0.5517798662185669,4.621109962463379,3.150099515914917,3.7018795013427734,0.6816759859065049,1.0,0.9431176486272576,1.383527748239984
2025-07-17T08:11:55.543550,17,0.2339780628681183,4.844629287719727,3.1976420879364014,3.4316201210021973,0.6600385450082367,1.0,0.9360262527696662,1.4181387636347815
2025-07-17T08:12:23.509045,18,0.36408179998397827,4.420234680175781,2.8395862579345703,3.2036681175231934,0.6424062119466263,1.0,0.9303068082418094,1.4481597228001915
2025-07-17T08:12:51.478906,19,0.28247833251953125,5.572841644287109,3.4566452503204346,3.739123582839966,0.6202661873849774,1.0,0.9238285234845867,1.4894065420150606
2025-07-17T08:13:12.474551,20,0.502796471118927,4.604555130004883,2.7847886085510254,3.2875850200653076,0.6047899389845308,1.0,0.9196182029609301,1.5205580278949589
2025-07-17T08:13:31.373235,21,0.2338927835226059,4.571226119995117,2.690046787261963,2.9239394664764404,0.5884737997672485,1.0,0.9127609487665469,1.5510647088159604
2025-07-17T08:13:59.918095,22,0.05626966059207916,4.7049994468688965,2.6881275177001953,2.7443971633911133,0.571334331307437,1.0,0.9041960358848022,1.5826040561964898
2025-07-17T08:14:31.211773,23,0.050973374396562576,4.501645088195801,2.501535177230835,2.552508592605591,0.5556935591476203,1.0,0.8956638092699198,1.611794466516483
2025-07-17T08:16:20.159621,24,0.26080650091171265,4.704549312591553,2.546886920928955,2.8076934814453125,0.5413668427551903,1.0,0.8893152361863378,1.6427220149772337
2025-07-17T08:17:42.588771,1,0.5040406584739685,4.725040912628174,2.499990224838257,3.00403094291687,0.5290938559809286,1.0,0.8854624904092141,1.673545203953743
2025-07-17T08:18:13.904165,2,0.42593318223953247,4.747411251068115,2.4537220001220703,2.879655122756958,0.5168547391347977,1.0,0.8808671973275173,1.7042838644248868
2025-07-17T08:18:56.144479,4,0.4176928400993347,4.6334381103515625,2.341970443725586,2.7596633434295654,0.5054498611488963,1.0,0.8762354537552355,1.7335754068841536
2025-07-17T08:19:29.398174,5,0.22844237089157104,4.5678629875183105,2.2548906803131104,2.483333110809326,0.49364237066774325,1.0,0.8697575229265988,1.7619182826904953
2025-07-17T08:20:03.046614,6,0.3648586571216583,5.321280002593994,2.559847593307495,2.924706220626831,0.4810585840967762,1.0,0.8647085342685494,1.7975118998895303
2025-07-17T08:20:33.462065,7,0.3322404623031616,4.7515130043029785,2.234952211380005,2.567192554473877,0.47036641033700394,1.0,0.8593838535488955,1.827051910933665
2025-07-17T08:21:02.649770,8,0.16260026395320892,5.129648208618164,2.3507587909698486,2.5133590698242188,0.4582689924041638,1.0,0.8524160176529385,1.86007787391051
2025-07-17T08:21:29.465521,9,0.045285116881132126,4.431166648864746,1.9840145111083984,2.029299736022949,0.44774087179549127,1.0,0.8443447086452205,1.8857887616600524
2025-07-17T08:21:59.149600,10,0.36167627573013306,4.753629207611084,2.084526300430298,2.446202516555786,0.4385126236625746,1.0,0.8395180243160697,1.9144671661195627
2025-07-17T08:22:29.682428,11,0.5834685564041138,4.513969898223877,1.946959376335144,2.530427932739258,0.4313186457087145,1.0,0.8369575296369501,1.9404621934406059
2025-07-17T08:22:59.122449,12,0.45443999767303467,4.543674468994141,1.9249900579452515,2.379430055618286,0.42366374681022756,1.0,0.833132354317311,1.9664943161961412
2025-07-17T08:23:20.568391,13,0.48398342728614807,4.455173492431641,1.8560956716537476,2.3400790691375732,0.4166158138013893,1.0,0.8296408650469994,1.9913811079584964
2025-07-17T08:23:48.142446,14,0.5419422388076782,4.815537452697754,1.9713149070739746,2.5132570266723633,0.4093655148540339,1.0,0.8267638787846062,2.019622671405889
