iteration,timestamp,model_type,evaluated_images,iou_threshold,precision,recall,f1_score,mean_iou,map,matching_rate,total_detections,total_ground_truths,total_matched_pairs,unmatched_detections,unmatched_gts,num_classes,classes_perfect_score,classes_zero_score
layer2.1.conv1_iter_9_eval_set0,2025-07-29 16:21:31,pruned_network,50,0.5,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.5069562354474715,0.5348504871156674,1.0,156,156,156,0,0,47,19,8
layer2.1.conv1_iter_9_eval_set1,2025-07-29 16:21:31,pruned_network,50,0.5,0.6751592356687898,0.6751592356687898,0.6751592356687898,0.5201285240816874,0.5740262163571612,1.0,157,157,157,0,0,39,16,11
layer2.1.conv2_iter_11_training_set,2025-07-30 06:21:35,pruned_network,50,0.5,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.49611612359001367,0.5448441982308931,1.0,164,164,164,0,0,48,18,14
layer2.1.conv2_iter_11_eval_set0,2025-07-30 06:22:17,pruned_network,50,0.5,0.5838926174496645,0.5838926174496645,0.5838926174496645,0.4810701128461208,0.4692754362436622,1.0,149,149,149,0,0,46,15,10
layer2.1.conv2_iter_11_eval_set1,2025-07-30 06:22:57,pruned_network,50,0.5,0.5319148936170213,0.5319148936170213,0.5319148936170213,0.42201058138748493,0.4393125119760849,1.0,188,188,188,0,0,42,15,11
layer2.2.conv1_iter_12_training_set,2025-07-31 09:02:13,pruned_network,50,0.5,0.6405228758169934,0.6405228758169934,0.6405228758169934,0.49482692477487644,0.5684908132616131,1.0,153,153,153,0,0,46,17,9
layer2.2.conv1_iter_12_eval_set0,2025-07-31 09:02:58,pruned_network,50,0.5,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.5009894682830075,0.5697183948586769,1.0,161,161,161,0,0,43,14,5
layer2.2.conv1_iter_12_eval_set1,2025-07-31 09:03:38,pruned_network,50,0.5,0.6,0.6,0.6,0.47983778179988584,0.4946760841497683,1.0,160,160,160,0,0,41,17,7
layer2.2.conv2_iter_13_training_set,2025-08-01 10:52:03,pruned_network,50,0.5,0.7626262626262627,0.7626262626262627,0.7626262626262628,0.6095874693298047,0.6920951699968508,1.0,198,198,198,0,0,49,19,7
layer2.2.conv2_iter_13_eval_set0,2025-08-01 10:52:49,pruned_network,50,0.5,0.5771428571428572,0.5771428571428572,0.5771428571428572,0.4790089622490548,0.4724179004107532,1.0,175,175,175,0,0,43,18,6
